code,locale,name,descr
O,ar,Other,Other
O,da,Other,Other
O,fr,Male,Male
O,nl,Female,Female
F,zh,Male,Male
F,sv,Female,Female
M,da,Female,Female
M,ro,Male,Male
F,en,Other,Other
F,nl,Other,Other
M,ru,Other,Other
M,tr,Female,Female
M,ja,Female,Female
O,hu,Female,Female
O,th,Male,Male
O,es,Female,Female
O,tr,Other,Other
F,ru,Female,Female
F,ja,Male,Male
O,sv,Other,Other
M,nl,Other,Other
M,pt,Male,Male
M,hu,Other,Other
M,pl,Male,Male
M,es,Male,Male
M,ko,Other,Other
M,en,Male,Male
M,ar,Male,Male
M,fr,Female,Female
M,sv,Male,Male
