code,locale,name,descr
770,th,name-13221162,descr-13221162
770,fr,name-13221163,descr-13221163
771,sv,name-10221788,descr-10221788
771,hu,name-10221789,descr-10221789
772,tr,name-14097623,descr-14097623
772,it,name-14097624,descr-14097624
773,zh,name-5624656,descr-5624656
773,sv,name-5624657,descr-5624657
774,pt,name-26525173,descr-26525173
774,ru,name-26525174,descr-26525174
775,fi,name-16253361,descr-16253361
775,da,name-16253362,descr-16253362
776,fr,name-16367370,descr-16367370
776,nl,name-16367371,descr-16367371
777,ru,name-31237936,descr-31237936
777,de,name-31237937,descr-31237937
778,en,name-9380741,descr-9380741
778,da,name-9380742,descr-9380742
779,tr,name-18978824,descr-18978824
779,fi,name-18978825,descr-18978825
780,ja,name-30687892,descr-30687892
780,fi,name-30687893,descr-30687893
781,es,name-19411232,descr-19411232
781,fr,name-19411233,descr-19411233
782,ru,name-7366472,descr-7366472
782,ar,name-7366473,descr-7366473
783,nl,name-31544466,descr-31544466
783,fi,name-31544467,descr-31544467
784,ro,name-31157684,descr-31157684
784,tr,name-31157685,descr-31157685
785,ko,name-12632887,descr-12632887
785,zh,name-12632888,descr-12632888
786,ar,name-623533,descr-623533
786,it,name-623534,descr-623534
787,de,name-20170567,descr-20170567
787,es,name-20170568,descr-20170568
788,da,name-14635791,descr-14635791
788,th,name-14635792,descr-14635792
789,hu,name-16487429,descr-16487429
789,tr,name-16487430,descr-16487430
